id_store,pssstore_stars_rating,pssstore_stars_rating_count,metacritic_critic_score,is_ps4,is_indie,is_dlc,is_vr,is_opti_ps5_pro,is_remaster,is_ps_exclusive,series_count,packs_deluxe_count,has_microtransactions,dlcs_count,trophies_count,has_local_multiplayer,local_multiplayer_max_players,has_online_multiplayer,online_multiplayer_max_players,is_online_only,difficulty,hours_main_story,hours_completionist,base_price,days_to_10_percent_discount,days_to_10_percent_discount_category,days_to_25_percent_discount,days_to_25_percent_discount_category,days_to_33_percent_discount,days_to_33_percent_discount_category,days_to_50_percent_discount,days_to_50_percent_discount_category,days_to_75_percent_discount,days_to_75_percent_discount_category,has_5pct_discount_at_30d,has_10pct_discount_at_60d,has_33_percent_discount_before_0.6_year,has_50_percent_discount_before_1_year,has_75_percent_discount_before_3_year,publisher_category,publisher_game_count_cat,publisher_game_count,genre_action_aventure,genre_roles,genre_sports,genre_reflexion,genre_rapide,popularity_score,popularity_category,download_size_gb,download_size_category,voice_languages_count,localization_category,sub_languages_count,content_score,content_category,exclusif_playstation_content,visibility_score,visibility_category,pegi_unified,price_category,game_age_years,month_sin,month_cos,release_season
EP8311-PPSA19174_00-0421646910657705,1.57,14,,0,0,0,0,0,0,0,0,0,0,0,12,1,2,0,0,0,11,,,4.99,17.0,0-3_mois,17.0,0-3_mois,17.0,0-3_mois,17.0,0-3_mois,,jamais_ou_plus,1,1,1,1,,other,medium,8,0,0,0,1,0,8.1,very_low,,,,none,,9.0,minimal,0,7.0,obscure,7,0 - 7.99,2,-0.8660254037844386,0.5000000000000001,fall
EP2005-PPSA06055_00-SINUCA0000000000,3.26,72,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,4.99,167.0,3-6_mois,167.0,3-6_mois,167.0,3-6_mois,167.0,3-6_mois,,jamais_ou_plus,0,0,1,1,0,specialized,major,253,1,0,0,1,0,37.4,low,,,,none,,3.0,minimal,0,43.0,moderate,3,0 - 7.99,3,0.49999999999999994,-0.8660254037844387,spring
EP8311-PPSA16513_00-0233078860249892,1.55,11,,0,0,0,0,0,0,0,0,0,0,0,12,1,2,0,0,0,11,,,4.99,91.0,0-3_mois,91.0,0-3_mois,91.0,0-3_mois,91.0,0-3_mois,,jamais_ou_plus,0,0,1,1,,other,medium,8,0,0,0,1,0,5.2,very_low,,,,none,,9.0,minimal,0,7.0,obscure,3,0 - 7.99,2,0.49999999999999994,-0.8660254037844387,spring
EP8311-PPSA13840_00-0277389480637871,1.44,18,,0,0,0,0,0,0,0,0,0,0,0,12,1,2,0,0,0,11,,,4.99,133.0,3-6_mois,133.0,3-6_mois,133.0,3-6_mois,133.0,3-6_mois,,jamais_ou_plus,0,0,1,1,,other,medium,8,0,0,0,1,1,10.4,very_low,,,,none,,9.0,minimal,0,8.0,obscure,3,0 - 7.99,2,0.49999999999999994,0.8660254037844387,winter
EP8311-PPSA12662_00-0212989199890961,1.17,23,,0,0,0,0,0,0,0,0,0,0,0,12,1,2,0,0,0,11,,,4.99,168.0,3-6_mois,168.0,3-6_mois,168.0,3-6_mois,168.0,3-6_mois,,jamais_ou_plus,0,0,1,1,,other,medium,8,0,0,0,1,0,14.0,very_low,,,,none,,9.0,minimal,0,8.0,obscure,3,0 - 7.99,3,-2.4492935982947064e-16,1.0,winter
EP2005-PPSA05878_00-ZERODEGREES00000,3.63,140,,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,1,1,4.99,335.0,6-12_mois,335.0,6-12_mois,335.0,6-12_mois,335.0,6-12_mois,,jamais_ou_plus,0,0,0,1,0,specialized,major,253,1,0,0,1,0,50.9,medium,,,,none,,16.0,minimal,0,65.0,high,3,0 - 7.99,4,-2.4492935982947064e-16,1.0,winter
EP5133-PPSA29701_00-FANTASTICSEARCH1,4.33,42,,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,,,,3.59,1.0,0-3_mois,1.0,0-3_mois,54.0,0-3_mois,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,1,1,1,,,other,medium,10,0,0,0,1,1,41.3,medium,0.43,tiny,,minimal,1.0,16.0,minimal,0,6.0,obscure,3,0 - 7.99,0,0.8660254037844387,-0.4999999999999998,spring
EP5133-PPSA25279_00-WHOPPINGWORDSEAR,4.29,31,,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,3.59,45.0,0-3_mois,45.0,0-3_mois,236.0,6-12_mois,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,0,1,0,0,,other,medium,10,0,0,0,1,1,27.8,low,0.41,tiny,,minimal,1.0,19.0,minimal,0,9.0,obscure,3,0 - 7.99,1,-1.0,-1.8369701987210297e-16,fall
EP5133-PPSA22246_00-12WORDSEARCHFULL,4.22,49,,1,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,1,1,,3.59,1.0,0-3_mois,1.0,0-3_mois,50.0,0-3_mois,,moins_de_2_ans_sans_baisse,,moins_de_2_ans_sans_baisse,1,1,1,0,,other,medium,10,0,0,0,1,1,36.1,low,0.39,tiny,,minimal,1.0,22.0,light,0,12.0,obscure,3,0 - 7.99,1,0.8660254037844387,-0.4999999999999998,spring
EP2005-PPSA19489_00-10SECONDSTOWIN00,3.8,25,,1,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,4.99,78.0,0-3_mois,78.0,0-3_mois,147.0,3-6_mois,232.0,6-12_mois,,moins_de_2_ans_sans_baisse,0,0,1,1,,specialized,major,253,1,0,0,0,1,19.5,very_low,0.05,tiny,,minimal,2.0,22.0,light,0,42.0,moderate,3,0 - 7.99,1,1.0,6.123233995736766e-17,spring
