game_name,id_store,short_url_name,publisher,developer,release_date,pssstore_stars_rating,pssstore_stars_rating_count,metacritic_critic_score,metacritic_critic_userscore,genres,is_ps4,is_ps5,is_indie,is_dlc,is_vr,is_opti_ps5_pro,is_ps_exclusive,series_count,packs_deluxe_count,has_microtransactions,dlcs_count,trophies_count,has_local_multiplayer,local_multiplayer_max_players,has_online_multiplayer,online_multiplayer_max_players,is_online_only,difficulty,download_size_ps4,download_size_ps5,hours_main_story,hours_completionist,pegi_rating,esrb_rating,rating_descriptions,voice_languages,subtitle_languages,additional_features_tags,base_price,lowest_price,days_to_first_price_record,days_to_10_percent_discount,days_to_25_percent_discount,days_to_50_percent_discount,days_to_75_percent_discount
#BLUD,EP3717-CUSA46883_00-064335689877BLUD,game-blud-ps4,Humble Games,Exit 73 Studios,2024-06-18,4.45,215,7,20,"Action,Adventure,RPG",1,0,1,False,0,0,0,0,0,0,0,44,1,1,0,0,0,3,2809593856,0,9,9,12,Teen,"Blood,Suggestive Themes,Use of Alcohol,Violence,Bad Language",English,"French,English,German,Portuguese (Brazil),Korean,Japanese,Spanish (Mexico),Chinese (Simplified)","Action RPG,Action-Adventure,Dungeon Crawler,Cartoony,Hack and Slash,Colorful,Hand-drawn,Stylized,Top-Down,Vampire,Fantasy,Combat,Female Protagonist,Adventure,Action",24.99,14.99,0,64,330,,
"#Halloween, Super Puzzles Dream",EP8311-PPSA19174_00-0421646910657705,game-halloween-super-puzzles-dream-ps5,e-llusiontertainment,,2023-10-30,1.57,14,,,"Strategy,Puzzle",0,1,0,False,0,0,0,0,0,0,0,12,1,2,0,0,0,11,0,0,,,7,Everyone,Fear/Horror,,,"Puzzle,Board Game,Strategy",4.99,1.49,3,17,17,17,
#SinucaAttack,EP2005-PPSA06055_00-SINUCA0000000000,game-sinucaattack-ps5,eastasiasoft,,2022-05-19,3.26,72,,,"Action,Platformer,Puzzle",0,1,0,False,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,3,Everyone,Fantasy Violence,,,"Puzzle,Platformer,Action",4.99,1.49,2,167,167,167,
"#Wish travel, super puzzle dreams",EP8311-PPSA16513_00-0233078860249892,game-wish-travel-super-puzzle-dreams-ps5,e-llusiontertainment,,2023-05-31,1.55,11,,,Puzzle,0,1,0,False,0,0,0,0,0,0,0,12,1,2,0,0,0,11,0,0,,,3,Everyone,,,,"Puzzle,Board Game",4.99,1.49,19,91,91,91,
"#Xmas, Super Puzzles Dream",EP8311-PPSA12662_00-0212989199890961,game-xmas-super-puzzles-dream-ps5,e-llusiontertainment,,2022-12-22,1.17,23,,,Puzzle,0,1,0,False,0,0,0,0,0,0,0,12,1,2,0,0,0,11,0,0,,,3,Everyone,,,,"Puzzle,Board Game",4.99,1.49,32,168,168,168,
0 Degrees,EP2005-PPSA05878_00-ZERODEGREES00000,game-0-degrees-ps5,eastasiasoft,Kiddo Dev,2021-12-30,3.63,140,,,"Action,Platformer,Puzzle",0,1,0,False,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,1,1,3,Everyone,Fantasy Violence,,,"Puzzle,Platformer,Action",4.99,1.49,8,335,335,335,
10 Seconds to Win! PS4 & PS5,EP2005-PPSA19489_00-10SECONDSTOWIN00,game-10-seconds-to-win-ps4-ps5,eastasiasoft,Vergiu,2024-03-05,3.8,25,,,"Action,Adventure,Casual,Platformer,Music",1,1,1,False,0,0,0,0,0,0,0,13,1,1,0,0,0,2,32112640,58720256,0,0,3,Everyone,Fantasy Violence,,"English,Portuguese (Brazil)","Time Attack,Pixel Graphics,Cute,Precision Platformer,Parkour,Difficult,Time Management,Rhythm,Atmospheric,Colorful,2D,Stylized,2D Platformer,Platformer,Action-Adventure,Casual,Action",4.99,1.99,1,78,78,232,
10-Second Ghost,UB0675-PPSA25737_00-0225746198175822,game-10-second-ghost-ps5,HAPPY PLAYER PTE. LTD.,,2024-09-29,2.67,3,,,"Action,Platformer,Puzzle",0,1,0,False,0,0,0,0,0,0,0,26,0,0,1,1,0,,0,0,,,,Everyone,Fantasy Violence,,,"Puzzle,Platformer,Action",9.99,3.99,1,24,24,82,
112 Operator,EP5987-CUSA49933_00-0547685145082118,game-112-operator-ps4,ULTIMATE GAMES,Jutsu Games,2024-08-30,3.47,73,,,"Casual,Simulation,Strategy",1,0,1,False,0,0,0,0,0,0,0,19,1,1,0,0,0,,5466816512,0,,,16,Mature 17+,"Blood,Drug Reference,Sexual Themes,Strong Language,Violence",English,"French,English,Polish,German,Spanish,Korean,Chinese (Simplified),Russian","Realistic,Casual,Moddable,Time Management,Modern,Management,Education,Immersive Sim,Minimalist,Medical Sim,RTS,Open World,Procedural Generation,Sandbox,2D,Real Time Tactics,Strategy",24.99,11.24,1,40,40,84,
112th Seed,EP2005-PPSA03922_00-112THSEED0000000,game-112th-seed-ps5,eastasiasoft,NERDGAMES,2021-07-22,4.08,246,,,"Action,Platformer",0,1,0,False,0,0,0,0,0,0,0,14,1,1,0,0,0,1,0,113901568,1,1,3,Everyone,Fantasy Violence,,"Japanese,English","Platformer,Action",4.99,0.99,1,55,55,55,1539
