publisher,count
eastasiasoft,253
ratalaika games,230
ocean media,133
thigames,125
smobile,106
sony interactive entertainment,92
evgeniy kolpakov,77
nostra games,75
zakym,73
kemco,65
gametry,65
afil games,64
jandusoft,62
bandai namco entertainment,58
nacon,56
microids,48
gamuzumi,47
atari,42
markt+technik verlag,41
armin unold,40
super powerup games,38
dolores entertainment,38
outright games,34
square enix,33
silesia games,33
nis,31
pqube,30
sega,30
playstige interactive information and trade limited liability company,30
electronic arts,29
team 17 digital,28
cgi lab,28
tinybuild,27
webnetic,26
feardemic,25
benoit varasse trading as pix arts,25
plug in digital,25
devolver digital,25
esdigital games,24
annapurna interactive,24
gamemill entertainment,24
perpetual,23
red art games,23
auto slavic,22
thq nordic,21
top hat studios,21
happy player,21
focus entertainment,20
artifex mundi,20
playway,20
ubisoft,20
penguin pop games,20
qubyte interactive,19
maximum entertainment,19
joindots,19
505 games,18
konami,18
serenity forge,18
y-zo studio,18
playism,18
take-two interactive,17
volkov konstantin sergeevich,17
thunderful publishing,17
daedalic entertainment,17
ggmuks,17
pm studios,17
soedesco publishing,17
milestone,17
aerosoft,17
ultimate games,16
gamera nest,16
disney interactive,16
xeneder team,16
wales interactive,16
silver lining interactive,16
entity3,15
headup games,15
ce,15
koei tecmo,15
klabater,15
deep silver,15
daniel wengenroth,14
humble games,14
revolt games,14
aristo studio,14
wayforward technologies,14
akupara games,13
dear villagers,13
raw fury,12
forever entertainment,12
revulo games,12
legacy interactive,12
bethesda,12
epixr games,12
take it studio!,11
untold tales,11
handy games,11
hamster,11
crazysoft,11
two llamas,11
frontier developments,11
inin,11
puppet combo,11
chorus worldwide games,11
2awesome studio,11
kalypso media,10
acyntha,10
treefall studios,10
vertigo games,10
dead drop studios,10
wired productions,10
vrkiwi,10
4 gladiators,10
blowfish studios pty,10
activision,10
just for games,10
zazenfly development doo,10
source byte spółka z ograniczoną odpowiedzialnością,10
microsoft,10
appwill company,10
whitethorn games,10
marvelous,10
ziggurat interactive,9
limited run games,9
prime matter,9
playstack,9
reef entertainment,9
surprise attack,9
inti creates,9
klovako,9
paradox interactive,9
samustai,9
kodobur yazilim bilisim tasarim arg,9
kepler interactive,9
d3publisher,8
warner bros. interactive,8
10tons,8
kistler studios,8
astragon entertainment,8
e-llusiontertainment,8
marcer games,8
jackbox games,8
aspyr media,8
curve digital,8
mindscape,7
cascadia games,7
weakfish studio publishing,7
ternox,7
ravenscourt,7
kanuni games oyun yazilim ve pazarlama ticaret limited sirketi,7
moesoft,7
catness game studios,7
oiven games,7
baltoro games,7
assemble entertainment,7
digerati distribution,7
amata,7
lightwood games,7
11 bit studios,7
silengames,7
dangen entertainment,7
toplitz productions,7
clockwork origins,6
clear river games,6
blitworks,6
fabrizio ballante trading as colosseum studio,6
fantastico studio,6
rogue games,6
christian marcell de oliveira trading as chroda,6
indie.io,6
ci games,6
dotemu,6
astrolabe games,6
fireshine games,6
selectavision,6
secret mode,6
bigben interactive,6
gogame console publisher,6
phoenix reborn games,6
numskull games,6
entalto games,6
elantri games,6
rebellion,5
nai̇su oyun yazilim sanayi̇ ti̇caret li̇mi̇ted şi̇rketi̇,5
coatsink software,5
gametotop,5
armor games,5
tripwire interactive,5
colossus game studio,5
tmg studios,5
private division,5
firestoke group,5
interactive dreams,5
