iter	RMSE
0	157.5878965
1	154.9127224
2	152.7923996
3	150.7128134
4	148.6112471
5	147.0436661
6	145.642059
7	144.4951937
8	143.5865469
9	142.7069057
10	141.7777745
11	140.9912448
12	140.3645861
13	139.5181651
14	138.9227049
15	138.2829111
16	137.6481119
17	137.4719076
18	136.7129779
19	136.1180947
20	135.7773652
21	135.3063775
22	135.0444338
23	134.4867857
24	134.2409606
25	134.0951255
26	133.8795497
27	133.5095819
28	133.2575683
29	132.9153229
30	132.6397619
31	132.3680818
32	132.1909487
33	131.6002751
34	131.3376956
35	130.8740615
36	130.5577499
37	130.3243929
38	130.1518195
39	129.8135934
40	129.3918622
41	129.1392288
42	128.8598766
43	128.1639696
44	128.0270799
45	127.8736077
46	127.5495309
47	127.3748658
48	127.1296789
49	126.9613467
50	126.6952307
51	126.5045388
52	126.3162921
53	126.0318627
54	125.9891441
55	125.7178257
56	125.5612666
57	125.4913658
58	125.1570347
59	125.0923152
60	124.895532
61	124.5101077
62	124.3262257
63	124.0045514
64	123.8036184
65	123.6245396
66	123.4557826
67	123.1631293
68	122.9992404
69	122.7107286
70	122.5754347
71	122.4882835
72	122.4057183
73	122.0632181
74	121.8424671
75	121.720719
76	121.6150748
77	121.2136853
78	120.9519768
79	120.8165572
80	120.7723659
81	120.6234691
82	120.4128714
83	120.319633
84	119.9388267
85	119.6769567
86	119.4293867
87	119.295999
88	118.9702359
89	118.8267198
90	118.4402712
91	118.27831
92	118.2252958
93	118.0422903
94	117.9983654
95	117.8874152
96	117.8213933
97	117.730915
98	117.6088967
99	117.5511002
100	117.4931455
101	117.3400779
102	117.0069567
103	116.9279312
104	116.8782443
105	116.8181558
106	116.7468199
107	116.6733791
108	116.613677
109	116.3832571
110	116.0233945
111	115.9557237
112	115.9088848
113	115.7274854
114	115.650263
115	115.4914291
116	115.1290147
117	115.0435752
118	114.9544745
119	114.5542966
120	114.2691809
121	114.067566
122	113.9122417
123	113.8474432
124	113.5760904
125	113.4756918
126	113.0877082
127	112.6628189
128	112.6353031
129	112.4545051
130	112.4075687
131	112.3027953
132	112.2466955
133	112.0245098
134	111.7342988
135	111.4181094
136	111.0898998
137	110.9194135
138	110.6844291
139	110.4199581
140	110.3183875
141	109.8966366
142	109.655654
143	109.2771774
144	109.1131933
145	108.8717702
146	108.7935643
147	108.4206513
148	108.1566581
149	107.9469903
150	107.607503
151	107.5589866
152	107.4048217
153	107.2279375
154	107.0361591
155	106.8792866
156	106.697902
157	106.2705295
158	105.9505153
159	105.7300144
160	105.627812
161	105.4459005
162	105.0985354
163	104.9792704
164	104.7663239
165	104.6968199
166	104.5042437
167	104.1799185
168	104.1544868
169	104.0947279
170	103.8816495
171	103.6565213
172	103.505314
173	103.2589886
174	103.1744214
175	102.9463595
176	102.7151821
177	102.6268779
178	102.5280104
179	102.3829621
180	102.2333024
181	101.9768068
182	101.920776
183	101.7380117
184	101.6226075
185	101.5971828
186	101.4026251
187	101.1325162
188	101.1167665
189	100.9640182
190	100.6403512
191	100.3935464
192	100.1885178
193	100.0395725
194	99.9346429
195	99.90447031
196	99.76487095
197	99.58695169
198	99.55365759
199	99.44952263
