iter	Passed	Remaining
0	2	503
1	5	573
2	8	528
3	9	454
4	10	408
5	11	365
6	12	336
7	12	308
8	13	286
9	14	268
10	15	265
11	16	251
12	16	240
13	17	230
14	17	221
15	18	213
16	19	213
17	20	209
18	21	204
19	22	198
20	22	193
21	23	189
22	25	193
23	25	189
24	26	186
25	27	183
26	28	181
27	29	178
28	29	175
29	30	171
30	31	169
31	31	166
32	32	163
33	32	160
34	33	158
35	34	156
36	35	154
37	35	152
38	36	150
39	37	148
40	37	146
41	38	144
42	40	146
43	40	145
44	41	143
45	42	141
46	43	140
47	43	138
48	44	136
49	45	135
50	45	133
51	46	131
52	46	129
53	47	128
54	48	126
55	48	125
56	49	124
57	50	123
58	51	122
59	51	121
60	52	119
61	53	118
62	53	116
63	54	115
64	55	114
65	55	113
66	56	111
67	56	110
68	58	110
69	58	109
70	59	108
71	60	106
72	60	105
73	61	104
74	61	103
75	62	102
76	63	100
77	63	99
78	64	98
79	65	98
80	66	98
81	67	97
82	68	96
83	68	94
84	69	93
85	70	92
86	71	92
87	73	93
88	74	92
89	75	92
90	76	91
91	77	90
92	77	89
93	78	88
94	79	87
95	79	86
96	80	85
97	81	84
98	81	83
99	82	82
100	83	81
101	83	80
102	84	79
103	85	78
104	85	77
105	86	76
106	87	75
107	87	74
108	88	73
109	88	72
110	89	71
111	90	70
112	90	70
113	91	69
114	92	68
115	92	67
116	93	66
117	94	65
118	94	64
119	95	63
120	96	62
121	97	62
122	97	61
123	98	60
124	99	59
125	99	58
126	101	58
127	101	57
128	102	56
129	103	55
130	103	54
131	104	53
132	105	52
133	105	52
134	106	51
135	106	50
136	107	49
137	108	48
138	108	47
139	109	46
140	110	46
141	110	45
142	111	44
143	112	43
144	113	42
145	114	42
146	114	41
147	115	40
148	116	39
149	116	38
150	117	38
151	118	37
152	118	36
153	119	35
154	120	34
155	120	34
156	121	33
157	123	32
158	123	31
159	125	31
160	126	30
161	126	29
162	127	28
163	128	28
164	129	27
165	129	26
166	130	25
167	131	25
168	132	24
169	133	23
170	134	22
171	134	21
172	135	21
173	136	20
174	136	19
175	137	18
176	138	17
177	138	17
178	139	16
179	140	15
180	140	14
181	141	13
182	142	13
183	142	12
184	144	11
185	145	10
186	146	10
187	146	9
188	147	8
189	148	7
190	149	7
191	149	6
192	150	5
193	151	4
194	151	3
195	152	3
196	152	2
197	153	1
198	154	0
199	154	0
