publisher,count
eastasiasoft,253
RATALAIKA GAMES SL,230
OCEAN MEDIA LLC,133
ThiGames,125
SMOBILE INC,106
EVGENIY KOLPAKOV,77
NOSTRA GAMES LTD,75
Zakym s. r. o.,73
KEMCO,65
Gametry sp. z o. o.,65
Afil Games,64
JANDUSOFT S.L.,62
Sony Interactive Entertainment Europe,57
NACON SA,56
BANDAI NAMCO ENTERTAINMENT EUROPE,56
Microids,48
Gamuzumi,47
MARKT+TECHNIK VERLAG GMBH,41
Armin Unold,40
Dolores Entertainment S.L.,38
"SUPER POWERUP GAMES, SOCIEDAD LIMITADA",38
Sony Interactive Entertainment,34
OUTRIGHT GAMES LLC,34
SILESIA GAMES SP. Z O.O.,33
Square Enix LTD,32
NIS America,31
PQube Ltd,30
PLAYSTIGE INTERACTIVE INFORMATION AND TRADE LIMITED LIABILITY COMPANY,30
SEGA EUROPE LTD,29
Team 17 Digital LTD,28
CGI LAB SRL,28
EA Swiss Sarl,28
TINYBUILD LLC,27
Webnetic s. r. o.,26
Feardemic,25
Benoit Varasse trading as Pix Arts,25
Devolver Digital,25
Plug In Digital,25
GAMEMILL ENTERTAINMENT,24
ESDigital Games LTD,24
ANNAPURNA INTERACTIVE,24
PERPETUAL,23
Atari Inc.,23
RED ART GAMES,23
AUTO SLAVIC d.o.o.,22
HAPPY PLAYER PTE. LTD.,21
"TOP HAT STUDIOS, INC.",21
PLAYWAY S.A,20
THQ NORDIC GMBH,20
UBISOFT ENTERTAINMENT SA,20
Penguin Pop Games LLC,20
ARTIFEX MUNDI S.A.,20
Focus Entertainment,20
Maximum Entertainment,19
JOINDOTS GMBH,19
ATARI EUROPE S.A.S.U.,19
QUBYTE INTERACTIVE,19
y-zo studio,18
505 GAMES S.R.L.,18
PLAYISM,18
Serenity Forge,18
DAEDALIC ENTERTAINMENT,17
AEROSOFT GMBH,17
THUNDERFUL PUBLISHING,17
MILESTONE SRL,17
GGMUKS INC.,17
SOEDESCO PUBLISHING,17
2K,17
PM Studios,17
Volkov Konstantin Sergeevich,17
Xeneder Team,16
GAMERA NEST SL,16
Silver Lining Interactive LTD,16
Wales Interactive Limited,16
ULTIMATE GAMES,16
Deep Silver,15
Entity3 Limited,15
CE EUROPE LIMITED,15
KLABATER,15
HEADUP GAMES,15
Aristo Studio s.r.o.,14
WAYFORWARD TECHNOLOGIES,14
Revolt Games SRL,14
DANIEL WENGENROTH,14
Humble Games,14
Konami,13
AKUPARA GAMES,13
Dear Villagers,13
Koei Tecmo Europe Ltd,12
EpiXR Games UG,12
"Legacy Interactive, Inc.",12
Bethesda,12
FOREVER ENTERTAINMENT S. A.,12
RAW FURY,12
Revulo Games sp. z o. o.,12
Crazysoft Limited,11
ININ,11
FRONTIER DEVELOPMENTS PLC,11
HANDY GAMES GMBH,11
Two Llamas s.r.o.,11
Untold Tales S.A.,11
2Awesome Studio  SL,11
Puppet Combo,11
Take IT Studio! Sp. z o.o.,11
HAMSTER CORPORATION,11
CHORUS WORLDWIDE GAMES,11
APPWILL COMPANY LTD,10
"Whitethorn Games, Inc.",10
SOURCE BYTE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,10
WIRED PRODUCTIONS LIMITED,10
VRKiwi,10
KALYPSO MEDIA,10
Marvelous Europe Limited,10
4 GLADIATORS,10
Zazenfly Development DOO,10
Just for Games SAS,10
Microsoft Corporation,10
Dead Drop Studios LLC,10
Acyntha,10
TreeFall Studios L.L.C.,10
VERTIGO GAMES,10
BLOWFISH STUDIOS PTY LTD,10
PLAYSTACK LIMITED,9
KODOBUR YAZILIM BILISIM TASARIM ARG,9
Samustai LTD,9
"Limited Run Games, Inc.",9
Kepler Interactive Limited,9
SURPRISE ATTACK,9
Prime Matter,9
Reef Entertainment,9
Disney Interactive,9
PARADOX INTERACTIVE AB,9
"Ziggurat Interactive, Inc.",9
Activision Blizzard Int'l BV,9
Klovako s. r. o.,9
ASTRAGON ENTERTAINMENT GMBH,8
Curve Digital,8
e-llusiontertainment,8
D3PUBLISHER,8
"INTI CREATES CO., LTD.",8
WARNER BROS. INTERACTIVE,8
10Tons Ltd.,8
"JACKBOX GAMES, INC.",8
"MARCER GAMES, SL",8
ASPYR MEDIA,8
Kistler Studios,8
Lightwood Games,7
AMATA K.K.,7
Baltoro Games Sp.z o.o.,7
